TF,regulon_score,p_act,p_rep,n_act,n_rep,mode
JARID2,0.11073593548611371,0.9839020458244111,0.7749328377831166,10,2,repression-targets-down
MEOX1,0.11073593548611371,0.7789443170238607,0.7749328377831166,5,2,repression-targets-down
ZNF350,0.11073593548611371,0.8648217087444745,0.7749328377831166,6,2,repression-targets-down
LYL1,0.11073593548611371,0.9941878305456422,0.7749328377831166,8,2,repression-targets-down
GLI2,0.10878393069556758,0.778423734504424,0.9875463313466478,60,48,activation-targets-up
SALL1,0.10849358683784494,0.7789443170238607,1.0,5,0,activation-targets-up
SON,0.10849358683784494,0.7789443170238607,1.0,5,0,activation-targets-up
WWTR1,0.10849358683784494,0.7789443170238607,0.9493592871319367,5,4,activation-targets-up
SIX4,0.10849358683784494,0.7789443170238607,1.0,5,0,activation-targets-up
PIN1,0.10849358683784494,0.7789443170238607,1.0,5,0,activation-targets-up
GTF2IRD1,0.10849358683784494,0.7789443170238607,1.0,5,0,activation-targets-up
LHX1,0.10849358683784494,0.7789443170238607,1.0,5,0,activation-targets-up
PLAGL2,0.10849358683784494,0.7789443170238607,1.0,5,0,activation-targets-up
MLXIP,0.10849358683784494,0.7789443170238607,1.0,5,0,activation-targets-up
ZNF382,0.10775740379624711,1.0,0.7802658440658237,0,11,repression-targets-down
IRF6,0.10621367695675185,0.7830442828451777,1.0,10,0,activation-targets-up
TCF12,0.1045680366747003,0.7860170438890492,1.0,31,1,activation-targets-up
HMGA2,0.1045680366747003,0.7860170438890492,1.0,31,0,activation-targets-up
GLI3,0.1002604188607108,0.9243426825564283,0.7938520692303591,23,9,repression-targets-down
ATF3,0.10002619720967634,0.7942803212540946,0.8064044248140412,56,24,activation-targets-up
AR,0.09996051687035164,0.9711866204291666,0.7944004529809292,341,32,repression-targets-down
HOXA1,0.09939824638222575,0.795429609967624,1.0,22,0,activation-targets-up
LMO2,0.098235509829697,0.7975620668849278,0.8932368120256673,15,3,activation-targets-up
ZEB1,0.098235509829697,0.7975620668849278,0.9278886856226136,15,25,activation-targets-up
ATF2,0.09505533710391961,0.8034237447028691,0.8932368120256673,83,3,activation-targets-up
GTF3A,0.08988237239905608,0.8130506991431335,1.0,20,0,activation-targets-up
PLAG1,0.08651772626088111,0.8193741787376768,1.0,8,0,activation-targets-up
NEUROD6,0.08651772626088111,0.8193741787376768,1.0,8,0,activation-targets-up
NKX6-1,0.08651772626088111,0.8193741787376768,1.0,8,0,activation-targets-up
BHLHE41,0.08651772626088111,0.8193741787376768,0.9329001099629941,8,9,activation-targets-up
FOXC2,0.08494509212180036,0.8223466127080142,1.0,13,0,activation-targets-up
SMAD1,0.081880594555218,0.828169830418063,1.0,48,2,activation-targets-up
NR5A2,0.08151331652746897,0.8288705006934167,1.0,32,1,activation-targets-up
CDX1,0.07984261872777994,0.8320652434159369,1.0,18,2,activation-targets-up
NR4A1,0.07572601559438906,0.9356372216235027,0.839989745750244,55,14,repression-targets-down
SATB2,0.07423905613398357,0.9136203053512932,0.8428706743389505,15,5,repression-targets-down
KLF17,0.07423905613398357,1.0,0.8428706743389505,0,5,repression-targets-down
HIF3A,0.07423905613398357,1.0,0.8428706743389505,0,5,repression-targets-down
TFCP2,0.07250139739937343,0.8462498458831793,1.0,44,0,activation-targets-up
CUX1,0.07212584494245736,0.8469819497295812,0.937725611129642,69,14,activation-targets-up
ZFP42,0.07037850486259525,0.850396560811262,1.0,11,1,activation-targets-up
HTATIP2,0.07037850486259525,0.850396560811262,1.0,11,4,activation-targets-up
DLX3,0.07037850486259525,0.850396560811262,1.0,11,0,activation-targets-up
TFAM,0.07037850486259525,0.850396560811262,1.0,11,0,activation-targets-up
MAFA,0.07037850486259525,0.850396560811262,1.0,11,0,activation-targets-up
KMT2B,0.07037850486259525,0.850396560811262,1.0,11,0,activation-targets-up
MEIS1,0.07037850486259525,0.850396560811262,1.0,11,1,activation-targets-up
MEF2A,0.06902475841585583,0.8530514815660326,1.0,76,0,activation-targets-up
PHF20,0.06307341726288354,0.8648217087444745,1.0,6,0,activation-targets-up
ASCL2,0.06307341726288354,0.8648217087444745,1.0,6,1,activation-targets-up
ARID3A,0.06307341726288354,0.8648217087444745,1.0,6,0,activation-targets-up
BMAL2,0.06307341726288354,0.8648217087444745,1.0,6,0,activation-targets-up
EHF,0.06307341726288354,0.8648217087444745,1.0,6,2,activation-targets-up
TFDP2,0.06307341726288354,0.8648217087444745,1.0,6,0,activation-targets-up
DOT1L,0.06307341726288354,0.8648217087444745,1.0,6,0,activation-targets-up
PBX2,0.06307341726288354,0.8648217087444745,1.0,6,0,activation-targets-up
MAFG,0.06307341726288354,0.8648217087444745,1.0,6,1,activation-targets-up
SALL3,0.06307341726288354,0.8648217087444745,1.0,6,1,activation-targets-up
GSC,0.06307341726288354,0.8648217087444745,1.0,6,1,activation-targets-up
TFAP4,0.06158989408068279,0.8677809377922847,1.0,26,3,activation-targets-up
TCF7,0.05802459431329222,0.8749342258625047,1.0,14,0,activation-targets-up
OLIG2,0.05802459431329222,0.8749342258625047,1.0,14,0,activation-targets-up
ZNF143,0.05715893895451569,0.8766799234663604,1.0,19,1,activation-targets-up
SFPQ,0.05715893895451569,0.8766799234663604,0.9493592871319367,19,4,activation-targets-up
TEF,0.05433646477097875,0.8823960091390067,1.0,9,0,activation-targets-up
HINFP,0.05433646477097875,0.8823960091390067,1.0,9,1,activation-targets-up
EZH2,0.05120681126798016,0.8887777806077564,0.979334716265459,89,26,activation-targets-up
DNMT3A,0.049941132157605594,0.9614586839166898,0.8913717537967223,25,15,repression-targets-down
SMAD5,0.04903338711182061,0.9692369906572096,0.8932368120256673,23,3,repression-targets-down
SATB1,0.0476311012354511,0.8961256301028631,0.9128437894583878,22,6,activation-targets-up
FOXL2,0.046210346262338026,0.8990620242077254,0.9526742914662233,12,7,activation-targets-up
NONO,0.046210346262338026,0.8990620242077254,1.0,12,1,activation-targets-up
JUNB,0.03960353482122072,0.9140091803004446,0.9128437894583878,63,6,repression-targets-down
SP2,0.039234256729550776,0.9136203053512932,1.0,15,2,activation-targets-up
NRG1,0.038580223565827514,0.914997223930412,1.0,30,0,activation-targets-up
PROP1,0.03669506414886458,0.9189776216398878,1.0,7,0,activation-targets-up
MYOCD,0.03669506414886458,0.9189776216398878,1.0,7,0,activation-targets-up
ZNF263,0.03669506414886458,0.9189776216398878,1.0,7,1,activation-targets-up
POU1F1,0.03265780153418676,0.9275603984643952,1.0,33,0,activation-targets-up
HES1,0.029934892120692967,0.9919847433642829,0.9333942214401618,40,23,repression-targets-down
MYC,0.028950386265339568,0.9999999999999999,0.9355125408516631,632,68,repression-targets-down
APEX1,0.028596473115554476,0.9362752149026949,1.0,31,0,activation-targets-up
NANOG,0.02283292432967654,0.9692369906572096,0.9487833957161511,23,12,repression-targets-down
LRRFIP1,0.021281506215802982,0.9521787692739581,1.0,8,3,activation-targets-up
NFIC,0.021055554342610097,0.9807165990965219,0.9526742914662233,45,7,repression-targets-down
ZGLP1,0.02093336961476515,0.9529423552564888,1.0,11,0,activation-targets-up
TGFB1I1,0.02093336961476515,0.9529423552564888,1.0,11,0,activation-targets-up
ZKSCAN7,0.02093336961476515,0.9529423552564888,1.0,11,0,activation-targets-up
GABPA,0.02076883168797662,0.9533034578531787,1.0,27,1,activation-targets-up
NEUROD2,0.017763871630808854,0.9599224049050289,1.0,5,0,activation-targets-up
ARID3B,0.017763871630808854,0.9599224049050289,1.0,5,0,activation-targets-up
ZNF395,0.017763871630808854,0.9599224049050289,1.0,5,0,activation-targets-up
PRDM16,0.017763871630808854,0.9599224049050289,1.0,5,0,activation-targets-up
NSD2,0.017763871630808854,0.9599224049050289,1.0,5,0,activation-targets-up
HOXD1,0.017763871630808854,0.9599224049050289,1.0,5,0,activation-targets-up
TBX3,0.017320658715616093,1.0,0.960902539796102,1,15,repression-targets-down
HDAC9,0.017320658715616093,1.0,0.960902539796102,0,15,repression-targets-down
KMT2A,0.014403863434633542,0.9673778442466896,1.0,53,0,activation-targets-up
PAX7,0.012824396020549791,0.9709024656060766,1.0,12,0,activation-targets-up
BRD4,0.012281595726401601,0.972116700741087,1.0,9,0,activation-targets-up
SMARCC1,0.00924279695727046,0.9789425441371398,1.0,6,0,activation-targets-up
YAP1,0.00924279695727046,0.9789425441371398,1.0,6,3,activation-targets-up
ELK4,0.00924279695727046,0.9789425441371398,1.0,6,0,activation-targets-up
MLXIPL,0.0070481364014724854,0.9839020458244111,1.0,10,1,activation-targets-up
TFDP1,0.005613438533224679,0.9871577546118215,1.0,28,1,activation-targets-up
TADA2A,0.004831506823817293,0.9889366978866817,1.0,7,0,activation-targets-up
EBF1,0.004691117861105194,0.9892564307989501,1.0,14,2,activation-targets-up
ZBED1,0.003016442173489656,0.993078450252078,1.0,18,0,activation-targets-up
GTF2I,0.003016442173489656,0.993078450252078,1.0,18,0,activation-targets-up
CREBZF,0.0025315571889948777,0.9941878305456422,1.0,8,2,activation-targets-up
MYBL1,0.0025315571889948777,0.9941878305456422,1.0,8,0,activation-targets-up
NRL,0.0013280503734322598,0.9969467217712116,1.0,9,0,activation-targets-up
ZNF362,0.0012889750586895683,0.9970364253275065,1.0,13,0,activation-targets-up
E2F3,0.0008462507970364447,0.998053332749072,1.0,60,1,activation-targets-up
ZBTB17,0.0007432604951757117,0.9982900431086335,1.0,33,2,activation-targets-up
TCF21,0.0006971109867823502,0.998396130209745,1.0,10,1,activation-targets-up
ZBTB4,0.00036602753236790437,0.9991575455245468,1.0,11,1,activation-targets-up
CXXC1,0.00036602753236790437,0.9991575455245468,1.0,11,0,activation-targets-up
TET1,0.00036602753236790437,0.9991575455245468,1.0,11,0,activation-targets-up
SRSF2,0.00019221124558027464,0.9995575151765186,1.0,12,0,activation-targets-up
NOTO,-0.0,1.0,1.0,5,0,repression-targets-down
